Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Georgia,GEO,"Population, total",SP.POP.TOTL,4418300,4386400,4357000,4328900,4318300,4361200,4398000,4388400,4383700,4410800,4452800,4486000,
Georgia,GEO,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,10184200458.3197,10618276723.7449,11306385998.6975,12820676462.8388,14120149786.1843,15899416253.0629,18154827711.697,20628535651.6676,21294536075.9307,20784666221.86,21994535547.698,24000352385.3857,
Germany,DEU,"Population, total",SP.POP.TOTL,82211508,82349925,82488495,82534176,82516260,82469422,82376451,82266372,82110097,81902307,81776930,81726000,
Germany,DEU,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,2095129786437.23,2175002812843.79,2233346956785.51,2320864956346.82,2469943097586.3,2595055739076.93,2816092855637.8,2973961775411.06,3083383059363.22,2989485110727.25,3141273459353.21,3287583144002.98,
Ghana,GHA,"Population, total",SP.POP.TOTL,19165490,19632265,20114361,20610897,21119911,21639806,22170556,22712403,23264176,23824402,24391823,24965816,
Ghana,GHA,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,17603185906.379,18899010545.1332,20056739027.9315,21530432999.4253,23358639881.4107,25822133932.3806,28532398000.2023,31274278614.2609,34716312409.5024,36593713064.2618,39285393313.3444,45217891039.847,
Greece,GRC,"Population, total",SP.POP.TOTL,10917482,10949957,10987543,11023514,11061701,11103965,11148460,11192763,11237094,11282760,11315508,11304000,
Greece,GRC,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,199981726974.605,217914476112.516,236064172969.845,246933814898.187,262392952855.621,266429561887.147,291196380352.576,301635886473.604,321783979469.314,321439887184.708,302659853818.371,283726572636.986,
Greenland,GRL,"Population, total",SP.POP.TOTL,56200,56350,56609,56765,56911,56935,56774,56555,56328,56323,56533,56744,
Greenland,GRL,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,,,,,,,,,,,,,
Grenada,GRD,"Population, total",SP.POP.TOTL,101522,101731,101954,102195,102455,102734,103037,103368,103723,104097,104487,104890,
Grenada,GRD,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,687225322.49093,677265978.171452,706991365.584196,793867987.472852,786627491.395947,993250689.603839,985081344.031098,1056487186.126,1087722108.86967,1035565397.00488,1041092485.54475,1086023479.35614,
Guam,GUM,"Population, total",SP.POP.TOTL,155147,157596,160292,163121,165918,168565,171024,173334,175538,177707,179896,182111,
Guam,GUM,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,,,,,,,,,,,,,
Guatemala,GTM,"Population, total",SP.POP.TOTL,11237101,11512637,11800351,12098576,12404764,12717154,13034904,13358842,13690846,14033623,14388929,14757316,
Guatemala,GTM,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,39013371069.1257,41160578154.4364,43027818738.4035,45019481518.7752,47585588662.4761,50731582394.0781,54921934962.0518,59941845799.584,63325997122.8234,64134454283.7841,66476863524.7345,70309580592.4848,
Guinea,GIN,"Population, total",SP.POP.TOTL,8344486,8472339,8604936,8743954,8889321,9041448,9201941,9373619,9559110,9761217,9981590,10221808,
Guinea,GIN,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,6530235767.37211,6877472084.12606,7499596153.38443,7281550839.98858,7638837839.81196,7943920915.21023,8185590529.45774,8863619002.77063,8984040246.48362,9259032844.65602,9774579099.04373,10459501987.4726,
Guinea-Bissau,GNB,"Population, total",SP.POP.TOTL,1240655,1264855,1289526,1314795,1340814,1367695,1395492,1424191,1453757,1484120,1515224,1547061,
Guinea-Bissau,GNB,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,1188440070.45277,1188305983.60696,1167564299.24908,1205265378.34169,1275210166.2093,1362777976.47606,1451892962.98331,1547939556.23761,1616260945.13198,1693074979.25903,1784115527.96382,1921801068.09589,
Guyana,GUY,"Population, total",SP.POP.TOTL,733101,735327,738011,740925,743743,746235,748321,750068,751578,753013,754493,756040,
Guyana,GUY,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,1502441200.41385,1551001093.88242,1607466373.61539,1639127907.08658,1606586075.41708,1845806162.16966,1992164408.04856,2215517810.81144,2339687875.2783,2447552893.08026,2608703093.64195,,
Haiti,HTI,"Population, total",SP.POP.TOTL,8645371,8791931,8935252,9075399,9212634,9347262,9479136,9608453,9736332,9864241,9993247,10123787,
Haiti,HTI,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,,,,,9285224913.5953,9733916665.71801,8763509773.72883,11013648705.1478,11102220092.9561,11571165142.0843,11147412195.7194,11924871666.7719,
Honduras,HND,"Population, total",SP.POP.TOTL,6218151,6347272,6477525,6609337,6743128,6879243,7017769,7158819,7302742,7449923,7600524,7754687,
Honduras,HND,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,15583353047.3586,15926053568.9849,16780923771.9374,17997608990.127,19524324510.5329,21486527456.2254,23566756373.7475,26218761210.0648,27774976858.3674,27544789703.3156,28466095982.5443,29651212747.1101,
"Hong Kong SAR, China",HKG,"Population, total",SP.POP.TOTL,6665000,6714300,6744100,6730800,6783500,6813200,6857100,6925900,6977700,7003700,7067800,7071600,
"Hong Kong SAR, China",HKG,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,180539501353.865,188433902714.91,191510768009.895,205361088276.445,228519033105.105,249585617356.458,280786323486.851,310120153117.33,332151819187.887,319298308218.706,340428425397.142,370166139725.264,
Hungary,HUN,"Population, total",SP.POP.TOTL,10210971,10187576,10158608,10129552,10107146,10087065,10071370,10055780,10038188,10022650,10000023,9971000,
Hungary,HUN,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,115306503878.471,129632715447.373,141269717749.31,148255851770.533,155057210414.665,161981831236.227,174131091336.706,176997996076.047,191948847763.729,193967604134.163,197249842915.998,202522718784.368,
Iceland,ISL,"Population, total",SP.POP.TOTL,281205,284968,287523,289521,292074,296734,303782,311566,317414,318499,318041,319000,
Iceland,ISL,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,7885519598.0033,8406990168.829,8923890988.95971,8766610776.59594,9468638385.20855,9979827189.83363,10254852584.6977,10998142460.5564,9889664926.08326,9593534692.21959,9312009934.96446,9895470844.11604,
India,IND,"Population, total",SP.POP.TOTL,1053898107,1071374264,1088694080,1105885689,1122991192,1140042863,1157038539,1173971629,1190863679,1207740408,1224614327,1241491960,
India,IND,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,1593206428862.9,1713230447600.69,1812642586982.51,1996443388792.13,2214556998156.16,2500080158104.72,2817915202031.04,3195443550983.99,3387277868361.6,3714513168614.27,4079910891398.68,4460508821304.53,
Indonesia,IDN,"Population, total",SP.POP.TOTL,213395411,216203499,219026365,221839235,224606531,227303175,229918547,232461746,234951154,237414495,239870937,242325638,
Indonesia,IDN,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,452326502481.105,470450363645.723,492433381542.167,575012655900.709,616113542265.764,670844893054.58,735230241867.56,805791583324.901,878228582428.38,931495585340.095,1003297912932.44,1091447849329.3,
"Iran, Islamic Rep.",IRN,"Population, total",SP.POP.TOTL,65342319,66313553,67212850,68061695,68893323,69732007,70582086,71435498,72289291,73137148,73973630,74798599,
"Iran, Islamic Rep.",IRN,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,435123879256.916,462096477718.336,495138834461.165,540201433232.563,584748846111.667,631733000454.188,692100952624.779,772100131684.688,809934760042.028,835515555265.721,,,
Iraq,IRQ,"Population, total",SP.POP.TOTL,24313641,24937728,25577836,26234373,26907763,27598437,28432904,29292601,30178292,31090763,32030823,32961959,
Iraq,IRQ,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,,,,,62683243016.6577,73706162204.4839,83289882254.6434,88831474801.6822,101795281771.469,109176902187.378,110517118188.165,123475658924.931,
Ireland,IRL,"Population, total",SP.POP.TOTL,3805174,3866243,3931947,3996521,4070262,4159914,4260341,4356931,4425683,4458942,4474356,4487000,
Ireland,IRL,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,94905664257.9172,100258498676.321,108281486734.272,118858676376.627,128007810832.818,139158679531.299,158093159806.736,170497087613.53,162766678001.207,149685047471.054,153965812847.618,153386688421.115,
Isle of Man,IMY,"Population, total",SP.POP.TOTL,76803,77577,78246,78840,79410,79994,80598,81203,81798,82358,82869,83327,
Isle of Man,IMY,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,,,,,,,,,,,,,
Israel,ISR,"Population, total",SP.POP.TOTL,6289000,6439000,6570000,6689700,6809000,6930100,7053700,7180100,7308800,7485600,7623600,7765700,
Israel,ISR,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,134991965974.827,143325746224.699,148342476954.041,142795820615.013,156673103013.119,160052733865.661,168089513795.124,184309607250.334,183293634438.937,185787758455.689,196790104611.713,210523565424.194,
Italy,ITA,"Population, total",SP.POP.TOTL,56942108,56977217,57157406,57604658,58175310,58607043,58941499,59375289,59832179,60192698,60483385,60770000,
Italy,ITA,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,1455349875517.68,1544218839167.08,1529461117364.37,1560632465626.99,1595862420558.71,1657879368497.54,1794811388591.25,1901280169553.32,1974941038176.06,1930245013137.2,1932943267053.1,1968881031232.3,
Jamaica,JAM,"Population, total",SP.POP.TOTL,2589388.55137656,2604788.61906298,2617495.22444646,2625700,2638100,2650400,2663100,2675800,2687200,2695600,2702300,2709300,
Jamaica,JAM,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,,,,,,17638882184.5923,,,,,,,
Japan,JPN,"Population, total",SP.POP.TOTL,126870000,127149000,127445000,127718000,127761000,127773000,127756000,127770750,127704040,127557958,127450459,127817277,
Japan,JPN,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,3335358963902.81,3429484805643.82,3527675230503.54,3626818822191.64,3824590746914.16,3979979312515.94,4173242748059.09,4410158781414.51,4430798872145.82,4197609934452.38,4436521604562.35,4516265924907.04,
Jordan,JOR,"Population, total",SP.POP.TOTL,4797500,4917500,5038000,5164000,5290000,5411500,5537000,5662000,5787000,5915000,6047000,6181000,
Jordan,JOR,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,15462956917.9672,16747799045.1124,17828082465.8516,19052765026.0027,21502294182.9703,24083501672.7769,26963434784.3167,30300726778.252,32945926418.8527,34856532186.8413,35042386706.0015,36646274677.9936,
Kazakhstan,KAZ,"Population, total",SP.POP.TOTL,14883626,14858335,14858948,14909019,15012984,15147029,15308085,15484192,15673999,16093481,16323287,16558459,
Kazakhstan,KAZ,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,66483592182.6209,78223411744.6388,88215730811.8582,97327863897.5068,108542025462.949,119386957296.017,132998884225.659,147874581584.353,152345652667.071,162665671410.541,172952579652.335,186358464023.751,
Kenya,KEN,"Population, total",SP.POP.TOTL,31253701,32076186,32927864,33805301,34702176,35614576,36540948,37485246,38455418,39462188,40512682,41609728,
Kenya,KEN,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,35217331114.9309,37333911023.6253,38229092986.8571,40102203156.9315,43436935823.5403,47935525344.3854,52465786636.3605,57638728248.9482,60040025557.8181,62511030213.2179,66336382408.0078,71146962067.735,
Kiribati,KIR,"Population, total",SP.POP.TOTL,84010,85550,87147,88776,90398,91988,93534,95043,96532,98027,99546,101093,
Kiribati,KIR,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,281600728.124617,297958660.956131,296110275.430817,297570566.248624,313040046.234327,317120122.873855,326451659.692487,330728121.219882,335443206.70956,309753988.934943,341953705.462086,333859271.847384,
"Korea, Dem. Rep.",PRK,"Population, total",SP.POP.TOTL,22894095,23083419,23264576,23436550,23597383,23745941,23882465,24008606,24126329,24238179,24346229,24451285,
"Korea, Dem. Rep.",PRK,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,,,,,,,,,,,,,
"Korea, Rep.",KOR,"Population, total",SP.POP.TOTL,47008000,47357000,47622000,47859000,48039000,48138000,48372000,48598000,48949000,49182000,49410000,49779000,
"Korea, Rep.",KOR,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,804280007668.421,857579966616.004,936636428432.463,966622932706.376,1041869971519.96,1095709390430.43,1174646227990.61,1270816944380.85,1316140841093.1,1327971205762.2,1426236302969.16,1511727741668.53,
Kosovo,KSV,"Population, total",SP.POP.TOTL,1700000,1701154,1702310,1703466,1704622,1705780,1719536,1733404,1747383,1761474,1775680,1794303,
Kosovo,KSV,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,,,,,,,,,,,,,
Kuwait,KWT,"Population, total",SP.POP.TOTL,1940786,2009588,2069816,2126786,2189485,2264014,2351441,2447818,2548351,2646286,2736732,2818042,
Kuwait,KWT,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,77774866061.8453,77589778169.1229,77418864443.1242,91298353432.121,105087746810.291,120261161259.331,132885889991.364,142738102601.664,148274109487.457,141497423339.981,147004488177.681,,
Kyrgyz Republic,KGZ,"Population, total",SP.POP.TOTL,4898400,4945100,4990700,5043300,5104700,5162600,5218400,5268400,5318700,5383300,5447900,5507000,
Kyrgyz Republic,KGZ,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,6155173199.60737,6778530700.25591,6907164715.19855,7577305497.86977,8220197848.87844,8567961593.63132,9297017990.00515,10419269740.2911,11245168984.0525,11706965013.8794,11351526865.5219,12028671047.724,
Lao PDR,LAO,"Population, total",SP.POP.TOTL,5317060,5408912,5496700,5582028,5667055,5753341,5841572,5931385,6022001,6112143,6200894,6288037,
Lao PDR,LAO,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,6131995329.73201,6644690983.34782,7170431863.27931,7608792881.38085,8452616494.99403,9519318682.89328,10332758331.845,11684997553.196,12717958515.5667,14122895183.0836,14849382521.7613,16216795284.4849,
Latvia,LVA,"Population, total",SP.POP.TOTL,2372985,2355011,2338624,2325342,2312819,2300512,2287948,2276100,2266094,2254834,2239008,2220000,
Latvia,LVA,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,19029808385.2181,21053545747.8019,23143477269.7311,24620781272.2056,26547979886.1216,29620352762.5923,33246227949.3424,37775908196.7975,40591621533.3351,38655529273.1115,36451129863.9196,39284520647.981,
Lebanon,LBN,"Population, total",SP.POP.TOTL,3742329,3802903,3868504,3935421,3998042,4052420,4097457,4134872,4166915,4196990,4227597,4259405,
Lebanon,LBN,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,29176709876.8618,30323834154.6034,30540928222.4606,27949805760.4575,35865651974.2279,38552594749.6262,40710012858.8538,45987280477.6316,50613063996.6805,54479974831.7604,58284256376.6549,61618552910.8829,
Lesotho,LSO,"Population, total",SP.POP.TOTL,1963878,1988983,2010261,2028976,2047006,2065752,2085561,2106128,2127412,2149201,2171318,2193843,
Lesotho,LSO,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,2502706746.36973,2572977669.57736,2636430780.17824,2837436365.22518,2939465443.54895,3406536507.9736,3517604795.28123,3667322676.40767,4133534568.45165,4287558916.74851,4297325788.32104,4505656809.29894,
Liberia,LBR,"Population, total",SP.POP.TOTL,2847290,2939296,2996082,3037412,3092721,3182539,3313718,3477197,3658460,3835929,3994122,4128572,
Liberia,LBR,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,844117912.568199,767752530.955525,1028609724.58948,641445247.946748,642424900.068963,800725768.327415,933162588.594188,1174678000.60449,1362399070.40267,1690964828.93348,1859877339.88789,2233042946.40292,
Libya,LBY,"Population, total",SP.POP.TOTL,5231189,5331311,5434293,5541062,5652797,5769709,5893738,6023053,6149620,6262667,6355112,6422772,
Libya,LBY,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,,,58273002686.7647,67838450637.3708,70691521890.676,80348150610.6909,90080557410.4882,99462762258.6327,102696436769.969,105182464356.615,,,
Liechtenstein,LIE,"Population, total",SP.POP.TOTL,32853,33239,33626,34006,34365,34696,34995,35266,35521,35772,36032,36304,
Liechtenstein,LIE,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,,,,,,,,,,,,,
Lithuania,LTU,"Population, total",SP.POP.TOTL,3499536,3481292,3469070,3454205,3435591,3414304,3394082,3375618,3358115,3339456,3286820,3203000,
Lithuania,LTU,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,29635046431.9588,32770383148.0151,36205375222.0541,40476427959.8305,43337495740.6992,47962841966.8246,53590501161.4907,59330076155.3064,63989439191.9111,58087225338.6728,59075381072.6942,62910651704.308,
Luxembourg,LUX,"Population, total",SP.POP.TOTL,436300,441525,446175,451630,458095,465158,472637,479993,488650,497783,506953,517000,
Luxembourg,LUX,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,20395208473.8006,21142613906.9793,21283782352.3576,21251617403.4916,25984349680.9934,27278831551.7864,28175980992.7569,32625848991.6312,32572318055.2168,26058618421.9842,29376100114.3712,33223937108.4297,
"Macao SAR, China",MAC,"Population, total",SP.POP.TOTL,431867,440265,449472,459456,470127,481390,493267,505709,518463,531195,543656,555731,
"Macao SAR, China",MAC,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,9295905382.72201,9176390398.74333,10641149725.4064,12033562999.0554,15132875592.0289,16782396759.4454,19026278253.3726,24871246376.5264,23562245218.7679,24681880980.7451,30963171215.9208,,
"Macedonia, FYR",MKD,"Population, total",SP.POP.TOTL,2009091,2016075,2022255,2027819,2033039,2038109,2043091,2047922,2052524,2056769,2060563,2063893,
"Macedonia, FYR",MKD,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,11705829337.4204,11672706853.5374,12062655525.7926,12878301026.4693,14173457254.3346,15736887701.7585,17804536980.1611,18504136476.5203,21753203462.5154,22734403950.1584,22528883284.645,22885161518.9296,
Madagascar,MDG,"Population, total",SP.POP.TOTL,15364272,15846412,16338968,16842482,17357913,17885967,18426870,18980391,19546282,20124150,20713819,21315135,
Madagascar,MDG,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,12092947301.0787,13178944372.1108,11659000287.417,13091292982.1615,14115166969.7634,15295582802.2305,16599135112.7988,18276758331.5079,20053949001.5042,19282893576.4757,19728032180.6813,20196119417.2971,
Malawi,MWI,"Population, total",SP.POP.TOTL,11228756,11529337,11833102,12144945,12472794,12822587,13195329,13589404,14005113,14442290,14900841,15380888,
Malawi,MWI,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,6533114114.80282,6358816155.37354,6590977802.75353,7099317498.95034,7653916779.17394,8143275450.70778,8603349219.96889,9756247480.75068,10809610284.427,11835061559.8852,12579340905.9955,13427398776.3903,
Malaysia,MYS,"Population, total",SP.POP.TOTL,23414909,23964621,24515323,25060184,25590453,26100241,26586287,27051142,27502008,27949395,28401017,28859154,
Malaysia,MYS,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,202738707630.155,210322684791.83,227028123332.604,248267150201.073,273236035901.953,299687815807.549,331787805380.971,365878870342.994,388476348069.439,391620297561.536,416818737670.626,451664670219.191,
Maldives,MDV,"Population, total",SP.POP.TOTL,273236,277791,282266,286665,290988,295240,299419,303539,307632,311739,315885,320081,
Maldives,MDV,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,1024786121.1121,1065236845.53124,1149589720.75467,1337134134.38777,1551087271.3625,1487787903.64522,1836866452.08703,1788224684.16519,2129156964.88077,2080365062.46147,2182959642.22958,2377963817.61136,
Mali,MLI,"Population, total",SP.POP.TOTL,11295324,11639798,12001887,12380104,12772264,13176642,13592796,14020786,14459990,14909813,15369809,15839538,
Mali,MLI,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,7509708517.32378,8167121484.32375,8564037971.88049,9751534186.82969,10209070991.8796,11201466040.4423,11929611319.8087,13597001646.3171,14070449543.1777,14662306554.3926,15729557773.614,16453309834.5545,
Malta,MLT,"Population, total",SP.POP.TOTL,381363,393028,395969,398582,401268,403837,406408,409050,411950,413991,415995,419000,
Malta,MLT,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,7079608661.88893,7244590862.53142,7702517545.56231,7810658525.59043,7902826409.63072,8104115604.19131,8688556352.29414,9221716099.21021,10026885245.6438,9696495103.40396,10183675370.5255,,
Marshall Islands,MHL,"Population, total",SP.POP.TOTL,52145,52131,52066,51992,51968,52037,52210,52487,52880,53396,54038,54816,
Marshall Islands,MHL,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,,,,,,,,,,,,,
Mauritania,MRT,"Population, total",SP.POP.TOTL,2642743,2720367,2800333,2882003,2964526,3047249,3129959,3212672,3295254,3377630,3459773,3541540,
Mauritania,MRT,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,4185040342.80665,4223189686.67338,4852980759.19406,4971278608.30995,5398795924.58037,6041944267.84541,7015726749.37968,7508787009.92203,8034050097.08539,8109907062.5352,8285199269.47067,8490625523.50805,
Mauritius,MUS,"Population, total",SP.POP.TOTL,1186873,1199881,1210196,1222811,1233386,1243253,1252698,1260403,1268565,1275032,1280924,1286051,
Mauritius,MUS,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,9575595970.25145,10140585832.883,10520924290.5927,11045500238.1444,12045965590.367,12612067197.1206,13657590603.0306,15187285011.3874,16041554569.8257,16541577255.9924,17642240516.3142,18432188559.7047,
Mexico,MEX,"Population, total",SP.POP.TOTL,99959594,101329543,102634153,103902569,105175967,106483757,107835259,109220753,110627158,112033369,113423047,114793341,
Mexico,MEX,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,878098259030.907,900336374402.732,937620218882.044,1089076335174.92,1171560096708.11,1274153894895.34,1414720197029.34,1504806230170.57,1603647327633.17,1515338365279.95,1628060479788.8,1766384385670.16,
"Micronesia, Fed. Sts.",FSM,"Population, total",SP.POP.TOTL,107103,107290,107728,108325,108926,109419,109789,110092,110367,110676,111064,111542,
"Micronesia, Fed. Sts.",FSM,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,295258491.443249,305641964.700281,311760049.542893,323462931.533379,326168507.135167,350237415.269681,364927282.060955,370527339.980497,361679035.184021,379464374.46354,381641804.208856,398904608.375494,
Moldova,MDA,"Population, total",SP.POP.TOTL,3639588,3631460,3623059,3612869,3603934,3595182,3585520,3576904,3570107,3565603,3562062,3559000,
Moldova,MDA,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,5440566619.74744,6181844703.47237,6780612486.41042,7741427999.51116,8635605262.69385,9511348244.00863,10264695905.7297,10662600510.2812,11790539321.5213,10789038256.2981,11967854195.7589,12963700766.79,
Monaco,MCO,"Population, total",SP.POP.TOTL,35126,35288,35341,35323,35282,35260,35267,35295,35336,35377,35407,35427,
Monaco,MCO,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,,,,,,,,,,,,,
Mongolia,MNG,"Population, total",SP.POP.TOTL,2411369,2434515,2458853,2485177,2514462,2547339,2584143,2624509,2667474,2711659,2756001,2800114,
Mongolia,MNG,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,4702389511.23444,4965857743.84244,5276675910.20377,5742167916.36772,6541795374.43987,7140057322.7106,8066590478.18098,9053449318.80192,9997021861.78428,9877227238.06642,10053967674.8901,11999406431.9558,
Montenegro,MNE,"Population, total",SP.POP.TOTL,632606,630299,628594,627500,626912,626739,627074,627962,629185,630435,631490,632261,
Montenegro,MNE,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,4188692679.69715,4328713722.07201,4507577608.6238,4728136203.95562,5043858583.94459,5213093524.79371,6573235029.24253,7777803097.18216,8716206133.25709,8088696151.74606,8137230759.20955,8663413939.87762,
Morocco,MAR,"Population, total",SP.POP.TOTL,28793236,29129204,29453931,29770316,30082152,30392473,30702084,31011199,31321453,31634524,31951412,32272974,
Morocco,MAR,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,73299266743.4348,80629607724.7591,84837230848.4676,92387087590.5286,99905551343.0551,106783802789.85,118612351716.37,125507003633.323,134965253633.498,141834479019.124,148355446165.232,160079206385.565,
Mozambique,MOZ,"Population, total",SP.POP.TOTL,18200656,18691461,19200021,19721009,20246287,20770013,21290952,21811326,22332900,22858607,23390765,23929708,
Mozambique,MOZ,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,7644186507.67601,8560159876.1479,9809045556.46943,10606043859.4278,11638509267.3899,13145354402.1209,13919902482.8887,15620673466.4751,17228590325.0037,19320565706.0148,21126890112.331,23282213547.9298,
Myanmar,MMR,"Population, total",SP.POP.TOTL,44957660,45323903,45609292,45843675,46070248,46321162,46605278,46915826,47250315,47601374,47963012,48336763,
Myanmar,MMR,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,,,,,,,,,,,,,
Namibia,NAM,"Population, total",SP.POP.TOTL,1895839,1936399,1973408,2008342,2043339,2079951,2118653,2158984,2200422,2242078,2283289,2324004,
Namibia,NAM,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,7614089511.74673,7809818398.95133,8402890874.80463,9265770061.81879,10349851799.4224,10659358093.4289,11889033046.9751,12715470096.8119,13372391511.943,13704177661.3395,14281472936.4249,15238781410.9652,
Nepal,NPL,"Population, total",SP.POP.TOTL,24400606,24980184,25562573,26143530,26717875,27281945,27833665,28373838,28905358,29432743,29959364,30485798,
Nepal,NPL,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,19678483595.4957,21095059184.3791,21352776559.8609,22661454758.308,24346462500.1211,26094044547.8926,28071868355.8028,29949437109.511,32465602956.0977,34456894743.344,36218791258.2088,38382835246.3192,
Netherlands,NLD,"Population, total",SP.POP.TOTL,15925513,16046180,16148929,16225302,16281779,16319868,16346101,16381696,16445593,16530388,16615394,16696000,
Netherlands,NLD,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,478368987481.723,497754477514.537,520508143708.18,520395663306.181,554770504661.132,575665753340.089,638283010061.954,677894196163.138,690770071824.713,661138378869.383,681333899439.759,720294528359.096,
New Caledonia,NCL,"Population, total",SP.POP.TOTL,213230,217324,221490,225735,230068,234393,238459,242400,243985,245580,247000,249000,
New Caledonia,NCL,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,,,,,,,,,,,,,
New Zealand,NZL,"Population, total",SP.POP.TOTL,3857700,3880500,3948500,4027200,4087500,4133900,4184600,4228300,4268900,4315800,4367800,4405200,
New Zealand,NZL,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,76772639126.3426,81310063131.8675,85824324256.8102,90256315557.7024,94945678448.8803,97766735310.0974,105649920542.87,112011730382.792,115639570007.798,121761425497.118,126344723052.513,,
Nicaragua,NIC,"Population, total",SP.POP.TOTL,5073704,5148635,5219724,5288271,5356012,5424336,5493527,5563654,5635577,5710230,5788163,5869859,
Nicaragua,NIC,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,11991960734.9327,12552920310.8404,12930070335.6082,13565870574.1858,14750606175.4725,16047732828.4652,17337876071.1054,18754143306.3813,19695594580.1391,19414154823.7767,20145578714.5598,21867852255.6942,
Niger,NER,"Population, total",SP.POP.TOTL,10922421,11308134,11706182,12118322,12546945,12993884,13460138,13945662,14450007,14972257,15511953,16068994,
Niger,NER,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,5732433853.04533,6288345191.71333,6559158967.73768,7095991888.02398,7306545045.07055,7904298850.43646,8654211401.47331,9206984687.61551,10194137325.6558,10204204275.1419,11105906114.9477,11563235647.7024,
