Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Bahrain,BHR,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,13055675448.6298,13786340724.5023,14420124346.3162,15973168952.7606,17331094456.8085,19719534968.5952,21862153511.1444,24576264000.9253,25996514737.1979,24828926089.3083,26750281200.5464,,
Bangladesh,BGD,"Population, total",SP.POP.TOTL,129592275,131944584,134266428,136514768,138633401,140587922,142353501,143956805,145478300,147030145,148692131,150493658,
Bangladesh,BGD,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,115590503054.744,124219559531.428,133216624741.233,144439848485.72,157445301802.006,172087969081.442,192008424733.648,212092369201.408,233201014824.543,250357047479.362,267947027098.803,291749914178.389,
Barbados,BRB,"Population, total",SP.POP.TOTL,267511,268192,268813,269389,269947,270503,271062,271618,272180,272750,273331,273925,
Barbados,BRB,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,4175264198.34989,4035834839.44113,3936323425.41242,4106313165.09414,4379185894.08858,4620527159.262,4657960252.38758,4811210862.64734,4885991552.5947,5155351107.93508,,,
Belarus,BLR,"Population, total",SP.POP.TOTL,10005000,9970260,9925000,9873968,9824469,9775591,9732500,9702000,9602000,9507000,9490000,9473000,
Belarus,BLR,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,51379929633.5725,55003071959.3905,58843262843.2374,64531541771.4041,73919620392.1117,83519164429.0797,94491874757.9311,105023241090.019,117882293092.655,118458199303.265,128688027944.036,137002187208.47,
Belgium,BEL,"Population, total",SP.POP.TOTL,10251250,10286570,10332785,10376133,10421137,10478617,10547958,10625700,10709973,10796493,10895785,11008000,
Belgium,BEL,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,289923327596.811,298065368809.236,314666343698.43,319125250391.737,328490599664.913,339509754952.532,363746077726.646,382450448620.901,402221178772.758,392379267382.053,420343987832.235,431443870896.321,
Belize,BLZ,"Population, total",SP.POP.TOTL,249800,257300,265200,273700,282600,291800,301386,311500,322100,333200,344700,356600,
Belize,BLZ,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,1160579644.27592,1222070976.10613,1312389176.96417,1456595351.5367,1530495168.32061,1637747573.84856,1767911230.00345,1799949065.63069,1911325676.18435,2026472861.96049,2024579261.13146,2173165137.42053,
Benin,BEN,"Population, total",SP.POP.TOTL,6517810,6721337,6937985,7164976,7397985,7633757,7871707,8112573,8355980,8601771,8849892,9099922,
Benin,BEN,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,7513316745.88592,8039008412.76239,8534388443.9911,9029815536.48193,9587385049.19213,10229954473.9723,10806614588.7657,11657036806.6304,12775199777.2118,13524339729.8456,13997124339.6876,14749046702.6452,
Bermuda,BMU,"Population, total",SP.POP.TOTL,62100,62500,62800,63000,63300,63600,63800,64000,64200,64400,64237,64700,
Bermuda,BMU,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,,,,,,,,,,,,,
Bhutan,BTN,"Population, total",SP.POP.TOTL,571262,588050,606024,624431,642400,659293,674681,688581,701363,713665,725940,738267,
Bhutan,BTN,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,1389468235.39471,1538513274.04289,1706148853.48827,1861894758.54164,2025954170.13786,2262042436.66204,2520679242.29756,3029903188.19047,3193486707.43882,3424810391.23078,3824082321.22748,4110190292.05881,
Bolivia,BOL,"Population, total",SP.POP.TOTL,8307248,8476709,8646659,8815911,8982917,9146655,9306660,9463497,9618466,9773441,9929849,10088108,
Bolivia,BOL,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,25581681000.0223,26627285699.5595,27733486476.4456,28743645261.095,30576889245.37,33141749560.2388,36028315802.1357,38659901153.5315,42168169838.0379,43852230269.4608,45749274189.8537,49322841373.8985,
Bosnia and Herzegovina,BIH,"Population, total",SP.POP.TOTL,3693698,3748370,3775883,3782717,3781358,3781001,3781588,3779034,3774164,3767683,3760149,3752228,
Bosnia and Herzegovina,BIH,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,18487685875.0602,19498587409.8286,20537691441.3843,21549399198.151,23216373296.3914,24999672339.4984,27944018996.1348,30749296303.5776,33972693765.0058,33275436553.4963,33013050988.7969,34484998679.0611,
Botswana,BWA,"Population, total",SP.POP.TOTL,1757925,1784449,1808103,1830127,1852243,1875673,1900905,1927540,1954822,1981576,2006945,2030738,
Botswana,BWA,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,13934422516.7878,15381739861.2666,15437626161.4512,17245894750.822,18646808693.6695,19885510140.6732,21882037173.9197,23828348571.6827,25407776654.8033,25618466039.3991,27323164923.9107,29547737326.8143,
Brazil,BRA,"Population, total",SP.POP.TOTL,174425387,176877135,179289227,181633074,183873377,185986964,187958211,189798070,191543237,193246610,194946470,196655014,
Brazil,BRA,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,1190061130696.55,1223767803203.69,1276406460155.98,1321938246746.31,1440201448726.31,1537250569620.17,1656328577012.67,1815892249573.36,1945861848106.81,1972834816733.6,2140230007984.61,2245843052060.53,
Brunei Darussalam,BRN,"Population, total",SP.POP.TOTL,327036,334348,341585,348771,355943,363123,370317,377513,384695,391837,398920,405938,
Brunei Darussalam,BRN,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,14064818062.5043,14778374983.381,15599884043.8118,16391047400.8728,16936858199.6665,17566847030.2811,18931013113.9009,19609357096.7445,19628794490.5933,19556891645.7205,,,
Bulgaria,BGR,"Population, total",SP.POP.TOTL,8170172,8020282,7868468,7823557,7781161,7739900,7699020,7659764,7623395,7585131,7534289,7476000,
Bulgaria,BGR,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,49585144472.264,54315761081.0709,60921780810.6337,65320054278.4497,69851978309.3215,76143037026.1506,82994662401.7049,87287016775.2786,100826590650.229,99743381186.0876,101374902140.718,105823441696.065,
Burkina Faso,BFA,"Population, total",SP.POP.TOTL,12294012,12648474,13015435,13395599,13789736,14198463,14622202,15061127,15515258,15984479,16468714,16967845,
Burkina Faso,BFA,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,9290322766.15079,10129305628.1393,10795700424.0361,11912734162.4096,12802474843.4143,14277985250.8013,15853911388.8659,16903110387.6728,18278275531.7885,19062544364.274,20709511288.576,22069365891.1843,
