# Territory names from CLDR
మోంటేనేగ్రో	mōṇṭēnēgrō
సెంట్ మార్టిన్	seṇṭ mārṭin
మడగాస్కర్	maḍagāskar
మార్షల్ దీవులు	mārṣal dīvulu
మేసిడోనియా	mēsiḍōniyā
మేసిడోనియా (FYROM)	mēsiḍōniyā (FYROM)
మాలి	māli
మయన్మార్ (బర్మా)	mayanmār (barmā)
మంగోలియా	maṅgōliyā
మాకావ్ ఎస్ఏఆర్ చైనా	mākāv esē'ār cainā
మకావు	makāvu
ఉత్తర మరియానా దీవులు	uttara mariyānā dīvulu
మార్టినిక్	mārṭinik
మౌరిటేనియా	mauriṭēniyā
మోంట్సేర్రాట్	mōṇṭsērrāṭ
మాల్టా	mālṭā
మారిషస్	māriṣas
మాల్దీవులు	māldīvulu
మాలావి	mālāvi
మెక్సికో	meksikō
మలేషియా	malēṣiyā
మొజాంబిక్	mojāmbik
నమీబియా	namībiyā
క్రొత్త కాలెడోనియా	krotta kāleḍōniyā
నైజర్	naijar
నార్ఫాక్ దీవి	nārphāk dīvi
నైజీరియా	naijīriyā
నికరాగువా	nikarāguvā
నెదర్లాండ్స్	nedarlāṇḍs
నార్వే	nārvē
నేపాల్	nēpāl
నౌరు	nauru
నియు	niyu
న్యూజిలాండ్	n'yūjilāṇḍ
ఒమన్	oman
పనామా	panāmā
పెరూ	perū
ఫ్రెంచ్ పోలినిషియా	phren̄c pōliniṣiyā
పాపువా న్యు గినియా	pāpuvā n'yu giniyā
ఫిలిప్పీన్స్	philippīns
పాకిస్తాన్	pākistān
పోలాండ్	pōlāṇḍ
సెంట్ పియెర్ మరియు మికెలాన్	seṇṭ piyer mariyu mikelān
పిట్‌కెయిర్న్ దీవులు	piṭ‌keyirn dīvulu
ఫ్యూర్టో రికో	phyūrṭō rikō
పాలస్తీనియన్ ప్రాంతాలు	pālastīniyan prāntālu
పాలస్తీనా	pālastīnā
పోర్చుగల్	pōrcugal
పలావు	palāvu
పరాగ్వే	parāgvē
కతర్	katar
ఒషీనియా బయటున్నవి	oṣīniyā bayaṭunnavi
రియూనియన్	riyūniyan
రోమానియా	rōmāniyā
సెర్బియా	serbiyā
రష్యా	raṣyā
రువాండా	ruvāṇḍā
సౌదీ అరేబియా	saudī arēbiyā
సోలమన్ దీవులు	sōlaman dīvulu
సీషెల్స్	sīṣels
సూడాన్	sūḍān
స్వీడన్	svīḍan
సింగపూర్	siṅgapūr
సెంట్ హెలినా	seṇṭ helinā
స్లోవేనియా	slōvēniyā
స్వాల్బార్డ్ మరియు యాన్ మాయేన్	svālbārḍ mariyu yān māyēn
స్లోవేకియా	slōvēkiyā
సియెర్రా లియాన్	siyerrā liyān
సాన్ మారినో	sān mārinō
సెనెగల్	senegal
సోమాలియా	sōmāliyā
సురినామ్	surinām
దక్షిణ సూడాన్	dakṣiṇa sūḍān
సావోటోమ్ మరియు ప్రిన్సిపే	sāvōṭōm mariyu prinsipē
ఎల్ సాల్వడోర్	el sālvaḍōr
సింట్ మార్టెన్	siṇṭ mārṭen
సిరియా	siriyā
స్వాజిల్యాండ్	svājilyāṇḍ
ట్రిస్టన్ డ కన్హా	ṭrisṭan ḍa kanhā
తుర్క్ మరియు కాలికోస్ దీవులు	turk mariyu kālikōs dīvulu
చాద్	cād
ఫ్రెంచ్ దక్షిణ ప్రాంతాలు	phren̄c dakṣiṇa prāntālu
టోగో	ṭōgō
థాయిలాండ్	thāyilāṇḍ
తజికిస్తాన్	tajikistān
టోకేలావ్	ṭōkēlāv
టిమోర్-లెస్టె	ṭimōr-lesṭe
తూర్పు తైమూర్	tūrpu taimūr
తుర్కమేనిస్తాన్	turkamēnistān
ట్యునీషియా	ṭyunīṣiyā
టోంగా	ṭōṅgā
టర్కీ	ṭarkī
ట్రినిడాడ్ మరియు టొబాగో	ṭriniḍāḍ mariyu ṭobāgō
టువాలు	ṭuvālu
తైవాన్	taivān
టాంజానియా	ṭān̄jāniyā
ఉక్రెయిన్	ukreyin
ఉగాండా	ugāṇḍā
సంయుక్త రాజ్య అమెరికా బయట ఉన్న దీవులు	sanyukta rājya amerikā bayaṭa unna dīvulu
అమెరికా సంయుక్త రాష్ట్రాలు	amerikā sanyukta rāṣṭrālu
ఉరుగువే	uruguvē
ఉజ్బెకిస్తాన్	ujbekistān
వాటికన్ నగరం	vāṭikan nagaraṁ
సెంట్ విన్సెంట్ మరియు గ్రెనడీన్స్	seṇṭ vinseṇṭ mariyu grenaḍīns
వెనుజువేలా	venujuvēlā
బ్రిటిష్ వర్జిన్ దీవులు	briṭiṣ varjin dīvulu
వియత్నాం	viyatnāṁ
వనాటు	vanāṭu
వాలిస్ మరియు ఫ్యుత్యునా	vālis mariyu phyutyunā
సమోవా	samōvā
కొసోవో	kosōvō
యెమెన్	yemen
మాయొట్టి	māyoṭṭi
దక్షిణ ఆఫ్రికా	dakṣiṇa āphrikā
జాంబియా	jāmbiyā
జింబాబ్వే	jimbābvē
తెలియని ప్రాంతం	teliyani prāntaṁ
