# Territory names from CLDR
അസൻഷൻ ദ്വീപ്	ಅಸൻಷൻ ದ್ವೀಪ್
യൂറോപ്യൻ യൂണിയൻ	ಯೂಱೇಾಪ್ಯൻ ಯೂಣಿಯൻ
ഫിൻലാൻഡ്	ಫಿൻಲಾൻಡ್
ഫിജി	ಫಿಜಿ
ഫാക്ക്‌ലാന്റ് ദ്വീപുകൾ	ಫಾಕ್ಕ್‌ಲಾನ್ಱ್ ದ್ವೀಪುಕൾ
ഫോക്ക്‌ലാൻഡ് ദ്വീപുകൾ (ഐലാസ് മാൽവിനാസ്)	ಫೇಾಕ್ಕ್‌ಲಾൻಡ್ ದ್ವೀಪುಕൾ (ಐಲಾಸ್ ಮಾൽವಿನಾಸ್)
മൈക്രോനേഷ്യ	ಮೈಕ್ರೇಾನೇಷ್ಯ
ഫറോ ദ്വീപുകൾ	ಫಱೇಾ ದ್ವೀಪುಕൾ
ഫ്രാൻസ്	ಫ್ರಾൻಸ್
ഗാബൺ	ಗಾಬൺ
യുണൈറ്റഡ് കിംഗ്ഡം	ಯುಣೈಱ್ಱಡ್ ಕಿಂಗ್ಡಂ
ഗ്രനേഡ	ಗ್ರನೇಡ
ജോർജ്ജിയ	ಜೇಾർಜ್ಜಿಯ
ഫ്രഞ്ച് ഗയാന	ಫ್ರಞ್ಚ್ ಗಯಾನ
ഗേൺസി	ಗೇൺಸಿ
ഘാന	ಘಾನ
ജിബ്രാൾട്ടർ	ಜಿಬ್ರಾൾಟ್ಟർ
ഗ്രീൻലാൻറ്	ಗ್ರೀൻಲಾൻಱ್
ഗാംബിയ	ಗಾಂಬಿಯ
ഗിനിയ	ಗಿನಿಯ
ഗ്വാഡലൂപ്പ്	ಗ್ವಾಡಲೂಪ್ಪ್
ഇക്വറ്റോറിയൽ ഗിനിയ	ಇಕ್ವಱ್ಱೇಾಱಿಯൽ ಗಿನಿಯ
ഗ്രീസ്	ಗ್ರೀಸ್
ദക്ഷിണ ജോർജ്ജിയയും ദക്ഷിണ സാൻഡ്‌വിച്ച് ദ്വീപുകളും	ದಕ್ಷಿಣ ಜೇಾർಜ್ಜಿಯಯುಂ ದಕ್ಷಿಣ ಸಾൻಡ್‌ವಿಚ್ಚ್ ದ್ವೀಪುಕಳುಂ
ഗ്വാട്ടിമാല	ಗ್ವಾಟ್ಟಿಮಾಲ
ഗ്വാം	ಗ್ವಾಂ
ഗിനിയ-ബിസൗ	ಗಿನಿಯ-ಬಿಸೌ
ഗയാന	ಗಯಾನ
ഹോങ്കോങ്ങ് (SAR) ചൈന	ಹೇಾಙ್ಕೇಾಙ್ಙ್ (SAR) ಚೈನ
ഹോങ്കോങ്ങ്	ಹೇಾಙ್ಕೇಾಙ್ಙ್
ഹിയേർഡും മക്‌ഡൊണാൾഡ് ദ്വീപുകളും	ಹಿಯೇർಡುಂ ಮಕ್‌ಡೆಾಣಾൾಡ್ ದ್ವೀಪುಕಳುಂ
ഹോണ്ടുറാസ്	ಹೇಾಣ್ಟುಱಾಸ್
ക്രൊയേഷ്യ	ಕ್ರೆಾಯೇಷ್ಯ
ഹെയ്തി	ಹೆಯ್ತಿ
ഹംഗറി	ಹಂಗಱಿ
കാനറി ദ്വീപുകൾ	ಕಾನಱಿ ದ್ವೀಪುಕൾ
ഇന്തോനേഷ്യ	ಇನ್ತೇಾನೇಷ್ಯ
അയർലാൻഡ്	ಅಯർಲಾൻಡ್
ഇസ്രായേൽ	ಇಸ್ರಾಯೇൽ
ഐൽ ഓഫ് മാൻ	ಐൽ ಓಫ್ ಮಾൻ
ഇന്ത്യ	ಇನ್ತ್ಯ
ബ്രിട്ടീഷ് ഇന്ത്യൻ മഹാസമുദ്ര പ്രദേശം	ಬ್ರಿಟ್ಟೀಷ್ ಇನ್ತ್ಯൻ ಮಹಾಸಮುದ್ರ ಪ್ರದೇಶಂ
ഇറാഖ്	ಇಱಾಖ್
ഇറാൻ	ಇಱಾൻ
ഐസ്‌ലാന്റ്	ಐಸ್‌ಲಾನ್ಱ್
ഇറ്റലി	ಇಱ್ಱಲಿ
ജേഴ്സി	ಜೇೞ್ಸಿ
ജമൈക്ക	ಜಮೈಕ್ಕ
ജോർദ്ദാൻ	ಜೇಾർದ್ದಾൻ
ജപ്പാൻ	ಜಪ್ಪಾൻ
കെനിയ	ಕೆನಿಯ
കിർഗിസ്ഥാൻ	ಕಿർಗಿಸ್ಥಾൻ
കംബോഡിയ	ಕಂಬೇಾಡಿಯ
കിരിബാട്ടി	ಕಿರಿಬಾಟ್ಟಿ
കോമൊറോസ്	ಕೇಾಮೆಾಱೇಾಸ್
സെന്റ് കിറ്റ്‌സും നെവിസും	ಸೆನ್ಱ್ ಕಿಱ್ಱ್‌ಸುಂ ನೆವಿಸುಂ
ഉത്തരകൊറിയ	ಉತ್ತರಕೆಾಱಿಯ
ദക്ഷിണകൊറിയ	ದಕ್ಷಿಣಕೆಾಱಿಯ
കുവൈറ്റ്	ಕುವೈಱ್ಱ್
കേമാൻ ദ്വീപുകൾ	ಕೇಮಾൻ ದ್ವೀಪುಕൾ
കസാഖിസ്ഥാൻ	ಕಸಾಖಿಸ್ಥಾൻ
ലാവോസ്	ಲಾವೇಾಸ್
ലെബനൻ	ಲೆಬನൻ
സെൻറ് ലൂസിയ	ಸೆൻಱ್ ಲೂಸಿಯ
ലിച്ചൺസ്റ്റൈൻ	ಲಿಚ್ಚൺಸ್ಱ್ಱೈൻ
ശ്രീലങ്ക	ಶ್ರೀಲಙ್ಕ
ലൈബീരിയ	ಲೈಬೀರಿಯ
ലെസോതോ	ಲೆಸೇಾತೇಾ
ലിത്വാനിയ	ಲಿತ್ವಾನಿಯ
ലക്സംബർഗ്	ಲಕ್ಸಂಬർಗ್
ലാറ്റ്വിയ	ಲಾಱ್ಱ್ವಿಯ
ലിബിയ	ಲಿಬಿಯ
മൊറോക്കൊ	ಮೆಾಱೇಾಕ್ಕೆಾ
മൊണാക്കോ	ಮೆಾಣಾಕ್ಕೇಾ
മൾഡോവ	ಮൾಡೇಾವ
മോണ്ടെനെഗ്രോ	ಮೇಾಣ್ಟೆನೆಗ್ರೇಾ
സെൻറ് മാർട്ടിൻ	ಸೆൻಱ್ ಮಾർಟ್ಟಿൻ
മഡഗാസ്കർ	ಮಡಗಾಸ್ಕർ
മാർഷൽ‍‍ ദ്വീപുകൾ	ಮಾർಷൽ‍‍ ದ್ವೀಪುಕൾ
മാസിഡോണിയ	ಮಾಸಿಡೇಾಣಿಯ
മാസിഡോണിയ (FYROM)	ಮಾಸಿಡೇಾಣಿಯ (FYROM)
