# Territory names from CLDR
அஷன்ஷியன் தீவு	अषऩ्षियऩ् तीवु
கிர்கிஸ்தான்	किर्किस्ताऩ्
கம்போடியா	कम्पोटिया
கிரிபடி	किरिपटि
கோமரோஸ்	कोमरोस्
செயின்ட் கிட்ஸ் &amp; நெவிஸ்	चॆयिऩ्ट् किट्स् &amp; नॆविस्
வட கொரியா	वट कॊरिया
தென் கொரியா	तॆऩ् कॊरिया
குவைத்	कुवैत्
கெய்மென் தீவுகள்	कॆय्मॆऩ् तीवुकळ्
கஸகஸ்தான்	कसकस्ताऩ्
லாவோஸ்	लावोस्
லெபனான்	लॆपऩाऩ्
செயின்ட் லூசியா	चॆयिऩ्ट् लूचिया
லிச்செண்ஸ்டெய்ன்	लिच्चॆण्स्टॆय्ऩ्
இலங்கை	इलङ्कै
லைபீரியா	लैपीरिया
லெசோதோ	लॆचोतो
லிதுவேனியா	लितुवेऩिया
லக்ஸ்சம்பர்க்	लक्स्चम्पर्क्
லாட்வியா	लाट्विया
லிபியா	लिपिया
மொராக்கோ	मॊराक्को
மொனாக்கோ	मॊऩाक्को
மால்டோவா	माल्टोवा
மான்டேனெக்ரோ	माऩ्टेऩॆक्रो
செயின்ட் மார்ட்டீன்	चॆयिऩ्ट् मार्ट्टीऩ्
மடகாஸ்கர்	मटकास्कर्
மார்ஷல் தீவுகள்	मार्षल् तीवुकळ्
மாசிடோனியா	माचिटोऩिया
மாசிடோனியா (ஃபைரோம்)	माचिटोऩिया (ःपैरोम्)
மாலி	मालि
மியான்மார் (பர்மா)	मियाऩ्मार् (पर्मा)
மங்கோலியா	मङ्कोलिया
மகாவ் எஸ்ஏஆர் சீனா	मकाव् ऎस्एआर् चीऩा
மகாவ்	मकाव्
வடக்கு மரியானா தீவுகள்	वटक्कु मरियाऩा तीवुकळ्
மார்டினிக்	मार्टिऩिक्
மௌரிடானியா	मौरिटाऩिया
மாண்ட்செராட்	माण्ट्चॆराट्
மால்டா	माल्टा
மொரிசியஸ்	मॊरिचियस्
மாலத்தீவு	मालत्तीवु
மலாவி	मलावि
மெக்சிகோ	मॆक्चिको
மலேசியா	मलेचिया
மொசாம்பிக்	मॊचाम्पिक्
நமீபியா	नमीपिया
நியூ கேலிடோனியா	नियू केलिटोऩिया
நைஜர்	नैजर्
நார்ஃபோக் தீவுகள்	नार्ःपोक् तीवुकळ्
நைஜீரியா	नैजीरिया
நிகரகுவா	निकरकुवा
நெதர்லாந்து	नॆतर्लान्तु
நார்வே	नार्वे
நேபாளம்	नेपाळम्
நௌரு	नौरु
நியூ	नियू
நியூசிலாந்து	नियूचिलान्तु
ஓமன்	ओमऩ्
பனாமா	पऩामा
பெரு	पॆरु
பிரெஞ்சு பாலினேஷியா	पिरॆञ्चु पालिऩेषिया
பப்புவா நியூ கினியா	पप्पुवा नियू किऩिया
பிலிப்பைன்ஸ்	पिलिप्पैऩ्स्
பாகிஸ்தான்	पाकिस्ताऩ्
போலந்து	पोलन्तु
