# Territory names from CLDR
ਅਸੈਂਸ਼ਨ ਟਾਪੂ	ଅସୈଂସ଼ନ ଟାପୂ
ਫ਼ਾਕਲੈਂਡ ਟਾਪੂ (ਆਈਲਾਸ ਮਾਲਵਿਨਾਸ)	ଫ଼ାକଲୈଂଡ ଟାପୂ (ଆଈଲାସ ମାଲଵିନାସ)
ਮਾਇਕ੍ਰੋਨੇਸ਼ੀਆ	ମାଇକ୍ରୋନେସ଼ୀଆ
ਫੈਰੋ ਟਾਪੂ	ଫୈରୋ ଟାପୂ
ਫ਼ਰਾਂਸ	ଫ଼ରାଂସ
ਗਬੋਨ	ଗବୋନ
ਯੂਨਾਈਟਡ ਕਿੰਗਡਮ	ଯୂନାଈଟଡ କିଗଡମ
ਗ੍ਰੇਨਾਡਾ	ଗ୍ରେନାଡା
ਜਾਰਜੀਆ	ଜାରଜୀଆ
ਫ਼ਰੈਂਚ ਗੁਆਨਾ	ଫ଼ରୈଂଚ ଗୁଆନା
ਗਰਨਜੀ	ଗରନଜୀ
ਘਾਨਾ	ଘାନା
ਜਿਬਰਾਲਟਰ	ଜିବରାଲଟର
ਗ੍ਰੀਨਲੈਂਡ	ଗ୍ରୀନଲୈଂଡ
ਗੈਂਬੀਆ	ଗୈଂବୀଆ
ਗਿਨੀ	ଗିନୀ
ਗੁਆਡੇਲੋਪ	ଗୁଆଡେଲୋପ
ਭੂ-ਖੰਡੀ ਗਿਨੀ	ଭୂ-ଖଡୀ ଗିନୀ
ਗ੍ਰੀਸ	ଗ୍ରୀସ
ਦੱਖਣੀ ਜਾਰਜੀਆ ਅਤੇ ਦੱਖਣੀ ਸੈਂਡਵਿਚ ਟਾਪੂ	ଦଖଣୀ ଜାରଜୀଆ ଅତେ ଦଖଣୀ ସୈଂଡଵିଚ ଟାପୂ
ਗੁਆਟੇਮਾਲਾ	ଗୁଆଟେମାଲା
ਗੁਆਮ	ଗୁଆମ
ਗਿਨੀ-ਬਿਸਾਉ	ଗିନୀ-ବିସାଉ
ਗੁਯਾਨਾ	ଗୁଯାନା
ਹਾਂਗ ਕਾਂਗ ਐਸਏਆਰ ਚੀਨ	ହାଂଗ କାଂଗ ଐସଏଆର ଚୀନ
ਹਾਂਗ ਕਾਂਗ	ହାଂଗ କାଂଗ
ਹਰਡ ਤੇ ਮੈਕਡੋਨਾਲਡ ਟਾਪੂ	ହରଡ ତେ ମୈକଡୋନାଲଡ ଟାପୂ
ਹੋਂਡੁਰਸ	ହୋଂଡୁରସ
ਕਰੋਏਸ਼ੀਆ	କରୋଏସ଼ୀଆ
ਹੈਤੀ	ହୈତୀ
ਹੰਗਰੀ	ହଗରୀ
ਕੇਨਾਰੀ ਟਾਪੂ	କେନାରୀ ଟାପୂ
ਇੰਡੋਨੇਸ਼ੀਆ	ଇଡୋନେସ଼ୀଆ
ਆਇਰਲੈਂਡ	ଆଇରଲୈଂଡ
ਇਜ਼ਰਾਈਲ	ଇଜ଼ରାଈଲ
ਆਇਲ ਆਫ ਮੈਨ	ଆଇଲ ଆଫ ମୈନ
ਭਾਰਤ	ଭାରତ
ਬਰਤਾਨਵੀ ਹਿੰਦ ਮਹਾਂਸਾਗਰ ਪ੍ਰਦੇਸ਼	ବରତାନଵୀ ହିଦ ମହାଂସାଗର ପ୍ରଦେସ଼
ਇਰਾਕ	ଇରାକ
ਈਰਾਨ	ଈରାନ
ਆਈਸਲੈਂਡ	ଆଈସଲୈଂଡ
ਇਟਲੀ	ଇଟଲୀ
ਜਰਸੀ	ଜରସୀ
ਜਮਾਇਕਾ	ଜମାଇକା
ਜਾਰਡਨ	ଜାରଡନ
ਜਪਾਨ	ଜପାନ
ਕੀਨੀਆ	କୀନୀଆ
ਕਿਰਗਿਜ਼ਸਤਾਨ	କିରଗିଜ଼ସତାନ
ਕੰਬੋਡੀਆ	କବୋଡୀଆ
ਕਿਰਬਾਤੀ	କିରବାତୀ
ਕੋਮੋਰੋਸ	କୋମୋରୋସ
ਸੈਂਟ ਕਿਟਸ ਐਂਡ ਨੇਵਿਸ	ସୈଂଟ କିଟସ ଐଂଡ ନେଵିସ
ਉੱਤਰੀ ਕੋਰੀਆ	ଉତରୀ କୋରୀଆ
ਦੱਖਣੀ ਕੋਰੀਆ	ଦଖଣୀ କୋରୀଆ
ਕੁਵੈਤ	କୁଵୈତ
ਕੇਮੈਨ ਟਾਪੂ	କେମୈନ ଟାପୂ
ਕਜ਼ਾਖਸਤਾਨ	କଜ଼ାଖସତାନ
ਲਾਓਸ	ଲାଓସ
ਲੈਬਨਾਨ	ଲୈବନାନ
ਸੇਂਟ ਲੂਸੀਆ	ସେଂଟ ଲୂସୀଆ
ਲਿਚੇਂਸਟਾਇਨ	ଲିଚେଂସଟାଇନ
ਸ੍ਰੀ ਲੰਕਾ	ସ୍ରୀ ଲକା
ਲਾਈਬੀਰੀਆ	ଲାଈବୀରୀଆ
ਲੇਸੋਥੋ	ଲେସୋଥୋ
ਲਿਥੁਆਨੀਆ	ଲିଥୁଆନୀଆ
ਲਕਜ਼ਮਬਰਗ	ଲକଜ଼ମବରଗ
ਲਾਟਵੀਆ	ଲାଟଵୀଆ
ਲੀਬੀਆ	ଲୀବୀଆ
ਮੋਰੱਕੋ	ମୋରକୋ
ਮੋਨਾਕੋ	ମୋନାକୋ
ਮੋਲਡੋਵਾ	ମୋଲଡୋଵା
ਮੋਂਟੇਨੇਗਰੋ	ମୋଂଟେନେଗରୋ
ਸੇਂਟ ਮਾਰਟਿਨ	ସେଂଟ ମାରଟିନ
ਮੈਡਾਗਾਸਕਰ	ମୈଡାଗାସକର
ਮਾਰਸ਼ਲ ਟਾਪੂ	ମାରସ଼ଲ ଟାପୂ
ਮੈਕਡੋਨੀਆ	ମୈକଡୋନୀଆ
ਮੈਕਡੋਨੀਆ (ਪੂਰਵ ਯੂਗੋਸਲਾਵ ਮੈਕਡੋਨੀਆਈ ਗਣਰਾਜ)	ମୈକଡୋନୀଆ (ପୂରଵ ଯୂଗୋସଲାଵ ମୈକଡୋନୀଆଈ ଗଣରାଜ)
ਮਾਲੀ	ମାଲୀ
ਮਿਆਂਮਾਰ (ਬਰਮਾ)	ମିଆଂମାର (ବରମା)
ਮੰਗੋਲੀਆ	ମଗୋଲୀଆ
ਮਕਾਉ ਐਸਏਆਰ ਚੀਨ	ମକାଉ ଐସଏଆର ଚୀନ
ਮਕਾਉ	ମକାଉ
ਉੱਤਰੀ ਮਾਰੀਆਨਾ ਟਾਪੂ	ଉତରୀ ମାରୀଆନା ଟାପୂ
ਮਾਰਟੀਨਿਕ	ମାରଟୀନିକ
ਮੋਰਿਟਾਨੀਆ	ମୋରିଟାନୀଆ
ਮੋਂਟਸੇਰਾਤ	ମୋଂଟସେରାତ
ਮਾਲਟਾ	ମାଲଟା
ਮੌਰਿਸ਼ਸ	ମୌରିସ଼ସ
ਮਾਲਦੀਵ	ମାଲଦୀଵ
ਮਲਾਵੀ	ମଲାଵୀ
ਮੈਕਸੀਕੋ	ମୈକସୀକୋ
ਮਲੇਸ਼ੀਆ	ମଲେସ଼ୀଆ
ਮੋਜ਼ਾਮਬੀਕ	ମୋଜ଼ାମବୀକ
ਨਾਮੀਬੀਆ	ନାମୀବୀଆ
ਨਿਊ ਕੈਲੇਡੋਨੀਆ	ନିଊ କୈଲେଡୋନୀଆ
ਨਾਈਜਰ	ନାଈଜର
ਨੋਰਫੌਕ ਟਾਪੂ	ନୋରଫୌକ ଟାପୂ
ਨਾਈਜੀਰੀਆ	ନାଈଜୀରୀଆ
ਨਿਕਾਰਾਗੁਆ	ନିକାରାଗୁଆ
ਨੀਦਰਲੈਂਡ	ନୀଦରଲୈଂଡ
ਨਾਰਵੇ	ନାରଵେ
ਨੇਪਾਲ	ନେପାଲ
ਨਾਉਰੂ	ନାଉରୂ
ਨਿਯੂ	ନିଯୂ
ਨਿਊਜ਼ੀਲੈਂਡ	ନିଊଜ଼ୀଲୈଂଡ
ਓਮਾਨ	ଓମାନ
ਪਨਾਮਾ	ପନାମା
ਪੇਰੂ	ପେରୂ
ਫਰੈਂਚ ਪੋਲੀਨੇਸ਼ੀਆ	ଫରୈଂଚ ପୋଲୀନେସ଼ୀଆ
ਪਾਪੂਆ ਨਿਊ ਗਿਨੀ	ପାପୂଆ ନିଊ ଗିନୀ
ਫਿਲੀਪੀਂਸ	ଫିଲୀପୀଂସ
ਪਾਕਿਸਤਾਨ	ପାକିସତାନ
