# Territory names from CLDR
असेंशन द्वीप	ಅಸೇಂಶನ ದ್ವೀಪ
इक्वेटोरियल गिनी	ಇಕ್ವೇಟೋರಿಯಲ ಗಿನೀ
यूनान	ಯೂನಾನ
दक्षिण जॉर्जिया और दक्षिण सैंडविच द्वीपसमूह	ದಕ್ಷಿಣ ಜೊರ್ಜಿಯಾ ಔರ ದಕ್ಷಿಣ ಸೈಂಡವಿಚ ದ್ವೀಪಸಮೂಹ
ग्वाटेमाला	ಗ್ವಾಟೇಮಾಲಾ
गुआम	ಗುಆಮ
गिनी-बिसाउ	ಗಿನೀ-ಬಿಸಾಉ
गयाना	ಗಯಾನಾ
हाँग काँग (चीन विशेष प्रशासनिक क्षेत्र)	ಹಾಂಗ ಕಾಂಗ (ಚೀನ ವಿಶೇಷ ಪ್ರಶಾಸನಿಕ ಕ್ಷೇತ್ರ)
हाँग काँग	ಹಾಂಗ ಕಾಂಗ
हर्ड द्वीप और मैकडोनॉल्ड द्वीपसमूह	ಹರ್ಡ ದ್ವೀಪ ಔರ ಮೈಕಡೋನೊಲ್ಡ ದ್ವೀಪಸಮೂಹ
होंडूरास	ಹೋಂಡೂರಾಸ
क्रोएशिया	ಕ್ರೋಏಶಿಯಾ
हैती	ಹೈತೀ
हंगरी	ಹಂಗರೀ
कैनेरी द्वीपसमूह	ಕೈನೇರೀ ದ್ವೀಪಸಮೂಹ
इंडोनेशिया	ಇಂಡೋನೇಶಿಯಾ
आयरलैंड	ಆಯರಲೈಂಡ
इसराइल	ಇಸರಾಇಲ
आइल ऑफ़ मैन	ಆಇಲ ಒಫ಼ ಮೈನ
भारत	ಭಾರತ
ब्रिटिश हिंद महासागरीय क्षेत्र	ಬ್ರಿಟಿಶ ಹಿಂದ ಮಹಾಸಾಗರೀಯ ಕ್ಷೇತ್ರ
इराक	ಇರಾಕ
ईरान	ಈರಾನ
आइसलैंड	ಆಇಸಲೈಂಡ
इटली	ಇಟಲೀ
जर्सी	ಜರ್ಸೀ
जमैका	ಜಮೈಕಾ
जॉर्डन	ಜೊರ್ಡನ
जापान	ಜಾಪಾನ
केन्या	ಕೇನ್ಯಾ
किर्गिज़स्तान	ಕಿರ್ಗಿಜ಼ಸ್ತಾನ
कंबोडिया	ಕಂಬೋಡಿಯಾ
किरिबाती	ಕಿರಿಬಾತೀ
कोमोरोस	ಕೋಮೋರೋಸ
सेंट किट्स और नेविस	ಸೇಂಟ ಕಿಟ್ಸ ಔರ ನೇವಿಸ
उत्तर कोरिया	ಉತ್ತರ ಕೋರಿಯಾ
दक्षिण कोरिया	ದಕ್ಷಿಣ ಕೋರಿಯಾ
कुवैत	ಕುವೈತ
केमैन द्वीपसमूह	ಕೇಮೈನ ದ್ವೀಪಸಮೂಹ
कज़ाखस्तान	ಕಜ಼ಾಖಸ್ತಾನ
लाओस	ಲಾಓಸ
लेबनान	ಲೇಬನಾನ
सेंट लूसिया	ಸೇಂಟ ಲೂಸಿಯಾ
लिचेंस्टीन	ಲಿಚೇಂಸ್ಟೀನ
श्रीलंका	ಶ್ರೀಲಂಕಾ
लाइबेरिया	ಲಾಇಬೇರಿಯಾ
लेसोथो	ಲೇಸೋಥೋ
लिथुआनिया	ಲಿಥುಆನಿಯಾ
लग्ज़मबर्ग	ಲಗ್ಜ಼ಮಬರ್ಗ
लातविया	ಲಾತವಿಯಾ
लीबिया	ಲೀಬಿಯಾ
मोरक्को	ಮೋರಕ್ಕೋ
मोनाको	ಮೋನಾಕೋ
मॉल्डोवा	ಮೊಲ್ಡೋವಾ
