# Territory names from CLDR
એસેન્શન આઇલેન્ડ	ஏஸேந்ஶந ஆஇலேந்ட
ઇરાક	இராக
ઈરાન	ஈராந
આઇસલેન્ડ	ஆஇஸலேந்ட
ઇટાલી	இடாலீ
જર્સી	ஜர்ஸீ
જમૈકા	ஜமைகா
જોર્ડન	ஜோர்டந
જાપાન	ஜாபாந
કેન્યા	கேந்யா
કિર્ગિઝ્સ્તાન	கிர்கிச்ஸ்தாந
કંબોડિયા	கஂபோடியா
કિરિબાટી	கிரிபாடீ
કોમોરસ	கோமோரஸ
સેન્ટ કિટ્સ અને નેવિસ	ஸேந்ட கிட்ஸ அநே நேவிஸ
ઉત્તર કોરિયા	உத்தர கோரியா
દક્ષિણ કોરિયા	தக்ஷிண கோரியா
કુવૈત	குவைத
કેમેન ટાપુઓ	கேமேந டாபுஓ
કઝાકિસ્તાન	கசாகிஸ்தாந
લાઓસ	லாஓஸ
લેબનોન	லேபநோந
સેન્ટ લુસિયા	ஸேந்ட லுஸியா
લૈચટેંસ્ટેઇન	லைசடேஂஸ்டேஇந
શ્રીલંકા	ஶ்ரீலஂகா
લાઇબેરિયા	லாஇபேரியா
લેસોથો	லேஸோதோ
લિથુઆનિયા	லிதுஆநியா
લક્ઝમબર્ગ	லக்சமபர்க
લાત્વિયા	லாத்வியா
લિબિયા	லிபியா
મોરોક્કો	மோரோக்கோ
મોનાકો	மோநாகோ
મોલડોવા	மோலடோவா
મૉન્ટેંનેગ્રો	மாந்டேஂநேக்ரோ
સેન્ટ માર્ટિન	ஸேந்ட மார்டிந
મેડાગાસ્કર	மேடாகாஸ்கர
માર્શલ આઇલેન્ડ્સ	மார்ஶல ஆஇலேந்ட்ஸ
મેસેડોનિયા	மேஸேடோநியா
મેસેડોનિયા (FYROM)	மேஸேடோநியா (FYROM)
માલી	மாலீ
મ્યાંમાર (બર્મા)	ம்யாஂமார (பர்மா)
મંગોલિયા	மஂகோலியா
મકાઉ SAR ચીન	மகாஉ SAR சீந
મકાઉ	மகாஉ
ઉત્તરીય મારિયાના આઇલેન્ડ્સ	உத்தரீய மாரியாநா ஆஇலேந்ட்ஸ
માર્ટીનીક	மார்டீநீக
મૌરિટાનિયા	மௌரிடாநியா
મોંટસેરાત	மோஂடஸேராத
માલ્ટા	மால்டா
મોરિશિયસ	மோரிஶியஸ
માલદિવ્સ	மாலதிவ்ஸ
માલાવી	மாலாவீ
મેક્સિકો	மேக்ஸிகோ
મલેશિયા	மலேஶியா
મોઝામ્બિક	மோசாம்பிக
નામિબિયા	நாமிபியா
ન્યુ સેલેડોનિયા	ந்யு ஸேலேடோநியா
નાઇજર	நாஇஜர
નોરફૉક ટાપુ	நோரபாக டாபு
નાઇજીરીયા	நாஇஜீரீயா
નિકારાગુઆ	நிகாராகுஆ
નેધરલેન્ડ	நேதரலேந்ட
નૉર્વે	நார்வே
નેપાળ	நேபாள
નૌરુ	நௌரு
નીયુ	நீயு
ન્યુઝીલેન્ડ	ந்யுசீலேந்ட
ઓમાન	ஓமாந
પનામા	பநாமா
પેરુ	பேரு
ફ્રેંચ પોલિનેશિયા	ப்ரேஂச போலிநேஶியா
પાપુઆ ન્યૂ ગિની	பாபுஆ ந்யூ கிநீ
ફિલીપાઇન્સ	பிலீபாஇந்ஸ
પાકિસ્તાન	பாகிஸ்தாந
પોલેંડ	போலேஂட
સેન્ટ પિયર અને મીક્વેલન	ஸேந்ட பியர அநே மீக்வேலந
પીટકૈર્ન આઇલેન્ડ્સ	பீடகைர்ந ஆஇலேந்ட்ஸ
પ્યુઅર્ટો રિકો	ப்யுஅர்டோ ரிகோ
પેલેસ્ટિનિયન ટેરિટરી	பேலேஸ்டிநியந டேரிடரீ
પેલેસ્ટાઇન	பேலேஸ்டாஇந
પોર્ટુગલ	போர்டுகல
પલાઉ	பலாஉ
પેરાગ્વે	பேராக்வே
કતાર	கதார
આઉટલાઈન્ગ ઓશનિયા	ஆஉடலாஈந்க ஓஶநியா
રીયુનિયન	ரீயுநியந
રોમાનિયા	ரோமாநியா
સર્બિયા	ஸர்பியா
રશિયા	ரஶியா
રવાંડા	ரவாஂடா
સાઉદી અરેબિયા	ஸாஉதீ அரேபியா
સોલોમન આઇલેન્ડ્સ	ஸோலோமந ஆஇலேந்ட்ஸ
સેશેલ્સ	ஸேஶேல்ஸ
સુદાન	ஸுதாந
સ્વીડન	ஸ்வீடந
સિંગાપુર	ஸிஂகாபுர
સેન્ટ હેલેના	ஸேந்ட ஹேலேநா
સ્લોવેનિયા	ஸ்லோவேநியா
સ્વાલબર્ડ અને જેન મેયન	ஸ்வாலபர்ட அநே ஜேந மேயந
સ્લોવેકિયા	ஸ்லோவேகியா
સીએરા લેઓન	ஸீஏரா லேஓந
સૅન મેરિનો	ஸாந மேரிநோ
સેનેગલ	ஸேநேகல
સોમાલિયા	ஸோமாலியா
સુરીનામ	ஸுரீநாம
