# Baby names
కేతాఘనీ	كیتاجهنی
కేనాలీ	كینالی
కేనీత	كینیت
కేనీల	كینیل
కేల్వీన	كیلوین
కేవ్లీనా	كیولینا
కేసరీనందన	كیسرینندن
కేసవ	كیسو
కేసవారాజ	كیسواراج
కైతవ	كایتو
కైశిక	كایشیك
కౌర్వాకీ	كاورواكی
ఖగేశ	كهجیش
ఖాజిత	كهاجیت
ఖానామ	كهانام
ఖామారీ	كهاماری
ఖాశ్వీ	كهاشوی
ఖుశీకా	كهوشیكا
ఖుశ్మీతా	كهوشمیتا
ఖైలాశ	كهایلاش
గంగవార	جنجوار
గంగోల	جنجول
గందిరా	جندیرا
గంధారా	جندهارا
గగనాసరీ	ججناسری
గగ్నేశ	ججنیش
గజగామినీ	جججامینی
గజరా	ججرا
గజలక్ష్మీ	ججلكشمی
గజానన	ججانن
గతితా	جتیتا
గత్రికా	جتریكا
గదీన	جدین
గధాధర	جدهادهر
గన్గసీరువన	جنجسیروون
గరిష్ట	جریشط
గరుల	جرول
గర్గ	جرج
గాథా	جاتها
గాయక	جایك
గిరీ	جیری
గీతా సుహానీ	جیتا سوهانی
గీరీచంద్ర	جیریتشندر
గీరీనాథ	جیریناته
గీర్వేన	جیروین
గీశుం	جیشون
గుదాకేశ	جوداكیش
గునవంత	جونونت
గునాలన	جونالن
గునితా	جونیتا
గురశరణ	جورشرن
గురురాజా	جوروراجا
గృహ్యా	جرهیا
గేహనా	جیهنا
గోఉరబ	جوورب
గోకుల	جوكول
గోదావరీ	جوداوری
గోపాల	جوبال
గోపీ	جوبی
గోబీకా	جوبیكا
గోమాంథీ	جومانتهی
గోరల	جورل
గోవీనేశ	جووینیش
గోవీన్దారాజ	جووینداراج
గోశీతా	جوشیتا
గౌరీ	جاوری
గ్నాపీకా	جنابیكا
గ్రంథిక	جرنتهیك
గ్రహిత	جرهیت
గ్రీతిక	جریتیك
ఘటా	جهطا
ఘనావీ	جهناوی
ఘోరరుపా	جهورروبا
ఘోశీనీ	جهوشینی
ఘోషా	جهوشا
ఘ్యాన	جهیان
చందక	تشندك
చందనా లక్ష్మీ	تشندنا لكشمی
చంద్రకలా	تشندركلا
చంద్రకాంత	تشندركانت
చంద్రకిశోర	تشندركیشور
చంద్రమాం	تشندرمان
చంద్రమౌలీ	تشندرماولی
చంద్రలేక్షా	تشندرلیكشا
చంద్రహాస	تشندرهاس
చంద్రాయణ	تشندراین
చక్రిక	تشكریك
చక్రికా	تشكریكا
చక్రియా	تشكرییا
చక్షస	تشكشس
చన్ద్రకేతు	تشندركیتو
చన్ద్రజ్యోతీ	تشندرجیوتی
చన్నాప్పా	تشنناببا
చరణ  రాజ	تشرن  راج
చరణరజ	تشرنرج
చరీథా	تشریتها
చరులా	تشرولا
చరుశీల	تشروشیل
చాతీమాం	تشاتیمان
చాతుర్య	تشاتوری
చామీనీ	تشامینی
చారుతా	تشاروتا
చారుహస	تشاروهس
చారుహాస	تشاروهاس
చాశ్ముమ	تشاشموم
చాహనా	تشاهنا
చింతక	تشینتك
చింతా	تشینتا
చిత్తప్రసాద	تشیتتبرساد
చిత్రంశీ	تشیترنشی
చిత్రఅక్షాం	تشیتراكشان
చిత్రకూట సమాంశ్రాయా	تشیتركوط سمانشرایا
చిత్రబానా	تشیتربانا
చిత్రలేఖా	تشیترلیكها
చిత్రాంగీ	تشیترانجی
చిత్రాదీప	تشیترادیب
చిత్రాదేవీ	تشیترادیوی
చిత్రీనీ	تشیترینی
చిన్మయానందా	تشینمیانندا
చిమాయీ	تشیمایی
చీథాన్యలాథా	تشیتهانیلاتها
చీనీత్య	تشینیتی
చీన్నీః	تشیننیها
చీరాన్తానా	تشیرانتانا
చేతన	تشیتن
చేతన్దీప	تشیتندیب
చేతన్సాఈ	تشیتنساي
చేథనా	تشیتهنا
చేననా	تشیننا
చేరన్రాజ	تشیرنراج
చేరాస్య	تشیراسی
చేష్టా	تشیشطا
చైతాలీ	تشایتالی
చైన	تشاین
చైసరణ	تشایسرن
జగజీత	جججیت
జగతపాల	ججتبال
జగనమోహన	ججنموهن
జగనమోహినీ	ججنموهینی
జగ్రవీ	ججروی
జతన	جتن
